id|name|desc|category|thumbnail
00000000-00000000-00000000-0000000F|Ice Breaker|Keep the ball bouncing and smash all of the ice blocks.|Furniture-Appliance|S
001A2BC2-EABB4D0C-8B278FB5-5743F8DE|Active Item - Cat|Mai-Mai the cat enjoys jumping up and down the levels of her cat post.|Furniture-Appliance|L
005756D8-5C3E4160-B2AE82B2-F8D1FF9A|MyBedroom - Birch Wood - Bed|An interactive MyBedroom bed with sleeping animation.|Furniture-Appliance|L
006383B0-0A884F32-BC7FE411-BFFA7C48|Arabian Canopy Bed (Active Object)|Elegant furnishings fit for a King. Or Queen.|Furniture-Appliance|L
013937B8-772948C9-911A0E1C-0A6B6948|Active Item - Wooden Orrery|Keep track of your favorite planet with your very own wooden orrery.|Furniture-Appliance|L
01505C2E-2D3C469C-AC284081-AD250021|Crypt Keeper (White)|This Crypt Keeper ensures your safety from the evil creatures that lurk within. However, this does not stop your apartment from filling with an eerie white fog and the sound of the horrific creatures imprisoned within the crypt below.|Furniture-Appliance|L
01CD95B2-9ECC4A27-B30B47D4-1B4448D6|BoxBeats Dance|This stylish sound system comes jam packed with over 10 amazing dance tracks for you and your friends to listen to while you bust some moves. This active item also allows you to select specific tracks to play, set the volume and even randomise the track list. This is an essential item for your apartment.|Furniture-Appliance|L
02EF7EF3-AAC24A21-8EDD04B9-5D3753AB|Telescope|This active item lets you move freely about your space in first person view, activate a spotlight, take videos and pictures and even customize your shots with photographic filters.|Furniture-Appliance|L
03379C94-8BB84280-85934FA2-CA78FB97|Doctor Who - Scientist Dalek (Orange) Furniture|The Orange Daleks are the caretakers of Dalek science. Don t worry if you re not good at mathematics, your first lesson will only hurt for a moment. EXTERMINATE. Doctor Who logo 2013 and TM BBC. Dalek image BBC Terry Nation 1963. Licensed by BBC WW Ltd.|Furniture-Appliance|L
0356813E-3FD045C5-90F7CA20-64CBC6AC|Cobalt Blue Toaster|Get cooking with this interactive toaster.|Furniture-Appliance|L
038B266A-BC364C0C-94897C5F-E24F7143|Active Item - Star Dome|Just sit back and enjoy a close-up view of the stars.|Furniture-Appliance|L
04434F45-5B3E4173-9BD50B52-2FE8E7B3|Black Retro Speaker Left|The left Black Retro Speaker from the LOOT home entertainment collection.|Furniture-Appliance|L
0457EB0D-AEE04966-A0D97FCC-5FFA46ED|Paranormal Hotspot Generator|This active item allows the user to place paranormal hotspots around their apartment and choose the type of paranormal even that will be generated for each hotspot. Prepare to terrify your friends with all sorts of ghostly happenings.|Furniture-Appliance|L
04676D5C-3A5B48B9-8F6852CB-F123C94B|80 LOOT Platinum EOD TV - Flatscreen|Discover the benefits of owning your very own platinum EOD TV that lets you watch full length movies, TV episodes, live shows and more with your friends in PlayStation Home. The LOOT Entertainment On Demand TV will work in any private space unless the space comes with a video screen you can t turn off, it does not include streaming radio or audio-only content. Now all you need to do is invite your friends over, pull out the popcorn and make the most important decision of all What will you watch first.? PLEASE READ BEFORE YOU PURCHASE Due to contractual and rights agreements, some EOD channels are nation specific. Crackle content is ONLY available in United States, Canada, United Kingdom, and Australia. RadioIO is ONLY available in the United States and Canada. In addition, due to rights issues, countries may not receive the same content selections within the channels. Only one TV can be active at a time. The LOOT EOD will work in any private space, UNLESS the space comes with a video screen you cannot turn off.|Furniture-Appliance|L
047A8CB0-44394FC7-A869E54B-6E09747A|Bioluminescent kelp|Adds an aquatic accent to any space. This active item adorns your personal space with gently animated glowing kelp. Glows in the dark.|Furniture-Appliance|L
069F6CDB-9B85405F-AE510D01-0501CC03|Mahogany Retro Speaker Left|The left Mahogany Retro Speaker from the Loot home entertainment collection.|Furniture-Appliance|L
06B9F020-A2ED4804-B7DD7766-E670B969|Superhero Madhouse - Arcade Cabinet|The SuperHero Madhouse arcade cabinet, complete with exclusive mad hero themed clothing for anyone who purchases the cabinet. To get the clothing, place the cabinet in your apartment and play the game. Any visitors to your personal space can play the full game, post high-scores, and gain trophies in the in-game trophy cabinet. Can you escape from the madhouse...or just your mind? After placing your cabinet and playing it for the first time you will receive the follow items 1. Superhero Madhouse - T-Shirt - Male 2. Superhero Madhouse - T-Shirt - Female 3. Superhero Madhouse - Fleece - Male 4. Superhero Madhouse - Fleece - Female 5. Superhero Madhouse - Hat - Male 6. Superhero Madhouse - Hat - Female|Furniture-Appliance|L
06EC8A76-E4494459-8E4BF8F5-2FDA6518|Weekly ToroStation TV-San|This TV Can Run Weekly ToroStation|Furniture-Appliance|L
072B3E7E-44C34795-AC05A2B5-F3D027D5|Jessamines Doll|This active item will release Jessamine.|Furniture-Appliance|L
078369D6-C0074A3E-A88119E5-6A152E48|Ghostbusters Coffee Maker|A decorative Ghostbusters ornament for PlayStation Home personal spaces.|Furniture-Appliance|L
07EC34C7-67984277-916874A1-E24A9A98|Scribble Shooter|Do you have what it takes to be the savior of the PlayStation Home Universe? Take down the evil alien hordes in this frenzied shoot em up arcade game. (Comes with 10 FREE PlayStation Home Rewards that are unlocked during gameplay)|Furniture-Appliance|S
0854B4A0-5F984F6F-8E57B990-48D1E306|LOOT Reel-to-reel|Fill the air with music. A must have for any private or clubhouse space - invite your friends over and get the party started. Enjoy endless streams featuring Pop, Rock, Dance, and Talk. The LOOT Radio delivers real music to the comfort of your PlayStation Home personal space. PLEASE READ BEFORE YOU PURCHASE Due to contractual and rights agreements, some channels are nation specific. RadioIO is only available in the United States and Canada. In addition, due to rights issues, countries may not receive the same content selections within the channels. Only one radio or television can be active at a time. The LOOT Radio will work in any private space, UNLESS the space comes with a tv or radio you cannot turn off.|Furniture-Appliance|L
085BD9FF-46DF4E15-A21F18FD-4CA2AA7F|Sega Renegade Ops Preboot - Explosion.|KABOOM. An exploding visual effect for your apartment.|Furniture-Appliance|L
087F1CA5-A88E43EF-B324493F-CEEF45DD|Apartment Pets Lil Ninjas|See your apartment come to life with these fantastic free-roaming pets. For best results, try combining them with the other apartment pets now available from nDreams. This is an active item.|Furniture-Appliance|L
08A8B58C-4B5340B9-8E742D4F-9878EDF0|Doctor Who TARDIS|TARDIS stands for Time And Relative Dimension In Space. The TARDIS looks like a 1950s wooden Police Phone Box on the outside, but it s far bigger on the inside. Amaze your friends when they discover the wonder of Time Lord technology. Doctor Who logo 2013 and TM BBC . Licensed by BBC Worldwide Ltd.|Furniture-Appliance|L
08C21A20-0E0243AA-A4A6FE9D-2DAD710E|Forsaken Planet Cow (Animated)|LOOT wants you to have a cow. Mooooooo. Looking for even sweeter Forsaken Planet deals and in-game rewards? Check out the Forsaken Planet Bundles in the LOOT Store.|Furniture-Appliance|L
08DACB22-7BAE47DA-AA7DD3E4-824DCF02|MyBedroom - Black Marble - Bed|An interactive MyBedroom bed with sleeping animation.|Furniture-Appliance|L
0916D2FB-8BBE4CB6-AC3C4EE1-8904C81F|Judge Dredd Pool Table|A Judge Dredd pool table, ideal for any apartment. This table comes with both Eight Ball and Nine Ball versions of pool. The game can be played with two players, or in a single player practice mode.|Furniture-Appliance|L
093226CC-80FB40AE-848E59D1-22860DBD|50s Diner - Mini Table Jukebox|Select your favourite songs from the comfort of your booth.|Furniture-Appliance|L
09FBC4A4-DBD94A19-80B1A44B-22311AD2|Ghost-O-Vision|When activated, this active item gives you the power of night vision revealing the hidden spirits lurking within your space.|Furniture-Appliance|L
0A0286E5-21AA489D-A2819CCE-A7799C10|Drop Science Orange Soda Boom Box (Active Item)|Fresh beats with some Drop Science style.|Furniture-Appliance|L
0A644657-F92E4FD2-A8013551-D917BF93|3D Printer|Experience the latest in virtual-to-real technology with the VEEMEE 3D Printer. Place in your personal space and choose from a wide selection of exclusive virtual items to print out for you and your friends. VEEMEE 3D Printer Vouchers can be purchased from the printer or from the VEEMEE store.|Furniture-Appliance|L
0A710F6B-8C104AD9-9F0B4765-B031ADB7|Harem Pillows - Mystic (Active Object)|Elegant furnishings fit for a King. Or Queen.|Furniture-Appliance|L
0A97EBAE-BDF940A1-902D5DCD-0EFF90AA|Music Unlimited Dry Ice Machine|Get to the PlayStation Store now and try a 30 day trial of Music Unlimited for free. Music Unlimited gives you access to all the music you could ever want at home, online or on the go via your PlayStation 3, PlayStation 4, Mobile Phone, PlayStation Vita, PC, Tablet or other Sony connected devices. Enjoy millions of songs advert free and use offline features to listen to your playlists even when you have no internet connection.|Furniture-Appliance|S
0A997BAE-594C4E89-B1E71A35-E0A27561|Xi Continuum - Snowcrash Stereo|Bring the Continuums nightlife into your apartment with this thumping stereo.|Furniture-Appliance|L
