id|name|desc|category|thumbnail
00000000-00000000-00000001-00000007|Pas Si Classique Footstool|Pas Si Classique footstool, design Pascal Mourgue, Ligne Roset, 2007.|Furniture-Footstool|S
00000000-00000000-00000001-00000012|Facett Footstool|Facett, design Ronan and Erwan Bouroullec, Ligne Roset, 2002. Multi award-winning piece from the inspiring and influential Bouroullec Brothers.|Furniture-Footstool|S
00000000-00000000-00000001-00000016|Neo Footstool|Neo, design Alban Gilles, Ligne Roset, 2003. Suitable for both contemporary and traditional interiors. Successful thanks to its simple and geometric design.|Furniture-Footstool|S
00000000-00000000-00000001-0000001C|Togo Footstool|Togo, design Michel Ducaroy, Ligne Roset, 1971. Iconic piece from the 70s, first of Ligne Rosets all foam seating range which has been enduringly popular. Suitable in any fabric and leather of the collection.|Furniture-Footstool|S
00000000-00000000-00000001-00000021|Facett 2 Seater Footstool|Facett, design Ronan and Erwan Bouroullec, Ligne Roset, 2002. Multi award-winning piece from the inspiring and influential Bouroullec Brothers.|Furniture-Footstool|S
00000000-00000000-00000001-00000031|Malhoun Footstool|Malhoun, design Didier Gomez, Ligne Roset, 2007. Modern translation of the traditional Chesterfield design, a deep and luxurious modular collection of seating.|Furniture-Footstool|S
00000000-00000000-00000001-00000037|Pop Footstool|Pop fireside chair, design Christian Werner, Ligne Roset, 2001. Superb design inspired by the 1960s school of design - combining style and fun.|Furniture-Footstool|S
00000000-00000000-00000001-0000003B|Summer House Foot Stool|A grey fabric foot stool with wooden legs.|Furniture-Footstool|S
00000000-00000000-00000002-00000004|Harbour Studio Foot Stool|A white fabric foot stool with chrome legs.|Furniture-Footstool|S
00000000-00000000-00000002-00000013|Shaman Footstool|Shaman, design Eric Jourdan, Ligne Roset, 2006. Re-interpretation of the shapes of the fifties, contemporary and timeless footstool combining graceful design and comfort.|Furniture-Footstool|S
0B840728-E6334D81-93716C33-C44E36ED|House Thaon Ottoman|A cushy velvet ottoman custom made for a noble of House Thaon.|Furniture-Footstool|S
0CE1C2BC-218E4CE3-BD16ACE2-6A705433|Playground Classic Green Ottoman|Rest your weary feet on this.|Furniture-Footstool|L
108CDAD6-88FF4225-926BF877-7197A87F|Animated Pink Neon Footstool|Animated neon furniture - Pink.|Furniture-Footstool|L
12643FF6-AD58437A-B13C3293-C547DD41|Modern Leather Footrest|A streamlined and surprisingly comfortable footrest. You can sit on it too.|Furniture-Footstool|L
13C564F5-E7AC4CE4-8AD694F1-C7E6F53B|Elegant Footstool|A very nice footstool that matches our Elegant Sofa. This is a free item from the SeaClyff Retreat Night space.|Furniture-Footstool|L
144B9D7A-E21D4E59-976CEC32-989DA5B2|Animated Neon Footstool - Yellow|A Lockwood classic returns in new colors. And this time... theyre giftable.|Furniture-Footstool|L
1EA75F59-E7044239-9E5A11C4-756A3A0E|MotorStorm Generator Seat|Somebody stole a few parts from this generator but no-one knows which ones. It ll never power another sound system so why not sit on it instead?|Furniture-Footstool|S
1EBE579B-1479446C-856EEF74-C0F05854|Football Stool|A collection for sports fans. Designed for those who experience the game as if they themselves were on the field.|Furniture-Footstool|L
1FCB11C0-6A62492F-BAC8C1EC-F1F15625|Tropical Seagrass Ottoman|Go ahead. Kick your feet up.|Furniture-Footstool|L
28B0BEA4-CC9B45A0-B1209BCA-5925D979|Footstool Cushion, Border Red|Footstool Red|Furniture-Footstool|L
2FD597F6-63284B30-A6EE5C1C-05AAF303|Faux Zebra Ottoman|It s a great statement item in any setting to be used as a coffee table, or as a seat.|Furniture-Footstool|L
3DA3E21E-0A89432A-A1A7ED6A-18B008C3|Idea - Modular Sofa - Footstool - Pink|One piece of your fashionable modular sofa. Designed by Idea.|Furniture-Footstool|S
42C76FBE-B8AB4D22-B568C13A-12C7A9BF|Regency Ottoman|Bring a touch of refinement to your apartment with this ottoman style footstool.|Furniture-Footstool|L
4389B52A-710D4CAC-BF149BFD-FB3692BA|Lovely Stool|This Valentines day, the quality and attention to detail of Altamar blend with romance to create this exclusive line. This limited edition is a unique design, accompanied by a line of warm and captivating accessories. Fall in love with class, fall in love with Altamar.|Furniture-Footstool|L
48A105CA-BAD1478D-8B143A02-149E5655|Craftsman Stool|Fine craftsmanship and worth every penny.|Furniture-Footstool|L
4A2EBA21-B1FD486D-99710FA1-B609AE44|Hideout Footstool|Take a load off after a long day of menacing behaviour with this comfortable footstool.|Furniture-Footstool|S
4DCB50E4-324D4D0D-A04737CA-706848AA|Idea - Modular Sofa - Footstool - Green|One piece of your fashionable modular sofa. Designed by Idea.|Furniture-Footstool|L
5110D49B-0EEE47D0-A35F8E20-88E40546|Animated Diamond Footstool|A footstool decked out in diamonds.|Furniture-Footstool|L
5302B299-E4BB4022-997AB125-607DBDBC|MotorStorm Tyre Footstool|Balder than a desert mole rat, these tires wouldn t get you very far in a MotorStorm race, but add two planks of wood to the top and you ve got yourself a handy stool. Genius.|Furniture-Footstool|S
5336A1F4-3DDD47ED-B09B405A-7187221F|House Dumont Ottoman|A cushy velvet ottoman custom made for a noble of House Dumont.|Furniture-Footstool|L
5C1002DC-1D754039-A458F639-16108CE3|LittleBigPlanet Footstool|LittleBigPlanet Round Footstool|Furniture-Footstool|S
6203A63E-BD4A48C4-B1DF2008-E3B52D90|70s Leopard Skin Footstool|No apartment is complete without this retro leopard skin footstool. No animals were injured in the making of this item.|Furniture-Footstool|S
626AAB7D-3DE04684-BF64D19B-3654BCBD|Painted Bare - Stool|Decorate your Painted Bare Studio and show your artistic flair So unpack your artist equipment and get settled in.|Furniture-Footstool|L
6E6BA24D-7CEE4B2A-A27DE5F1-C3B2208C|Footstool Cushion, Striped Black|Footstool Black|Furniture-Footstool|L
7098588D-64904E7D-98919F50-F8C05A37|Animated Neon Footstool - Red|A Lockwood classic returns in new colors. And this time... theyre giftable.|Furniture-Footstool|L
74EE3442-E1B1458C-A1C3B1F8-02796F29|Playground Classic Brown Ottoman|Brown goes with everything, so all your bases are covered.|Furniture-Footstool|L
75DF5FD3-7BF54E11-8D7E6374-5FC3C5AF|Avalonian Ottoman|A cushy gold and purple velvet ottoman.|Furniture-Footstool|L
7E8BE23F-20764083-834629AD-A7934EB2|Valor Footlocker|Favoring straight forward construction and appearance, Valor furniture always works in any situation, from frozen battlefields to a tropical bunkhouse.|Furniture-Footstool|L
7EDD5164-3D0C4D30-896C08E6-E06C8424|Garden Stone (Small)|A Stone Which Decorates A Garden.|Furniture-Footstool|L
823C2FF9-962B40AF-B0D4C927-A6EE1E6E|Club Fight Night Ottoman|Club Fight Night Ottoman For Your Apartment|Furniture-Footstool|S
849FC695-58604E8D-A06F12AD-D0EDBE1B|MotorStorm Camping Seat|Light, sort-of comfortable, covered in dubious stains. What more could you want from a camping seat?|Furniture-Footstool|S
86CD8687-0ECC440F-94C185BC-A8BCFC2D|Horrifyingly Comfortable Ottoman|Even evil seeks the comfort of repose.|Furniture-Footstool|L
8A1E7E25-B3964E51-9B1E3929-87687930|Animated Neon Footstool - Purple|A Lockwood classic returns in new colors. And this time... theyre giftable.|Furniture-Footstool|L
8C83B210-FBD645D1-89A40D1E-314D2DDC|House Grimoult Ottoman|A cushy velvet ottoman custom made for a noble of House Grimoult.|Furniture-Footstool|L
97B0FAE7-476A465F-B29C369D-EC9947DB|Simple Stool|Simple but useful.|Furniture-Footstool|L
9832CA0C-21EC4D17-9FBE1ACB-896041BE|Scribble Shooter Seating|Our alien upholsterers have made one of the most deadly bosses from the alien galaxy into a comfortable seat for three.|Furniture-Footstool|S
9BC5DABF-2D48447A-90B9DBB1-C4CD0EFB|Idea - Modular Sofa - Footstool - Floral|One piece of your fashionable modular sofa. Designed by Idea.|Furniture-Footstool|L
9E76415A-4DB94C9E-9EC52695-29FEAFFF|Raven Footlocker|The shrewd and intelligent designs of Ravens furniture may showcase form over function, but who says a footlocker cant be bulletproof?|Furniture-Footstool|L
A8350738-90984EC8-8FB17ADE-90686AC0|Footstool Cushion, Bordered Brown|Footstool Braun|Furniture-Footstool|L
AA20A102-F1E54E7D-BAC58025-7AA4DF1B|Idea - Modular Sofa - Footstool - Black|One piece of your fashionable modular sofa. Designed by Idea.|Furniture-Footstool|L
AB5963E5-E71F429C-9E7E13E2-C556E41E|Idea - Modular Sofa - Footstool - Yellow|One piece of your fashionable modular sofa. Designed by Idea.|Furniture-Footstool|L
B03E94A6-E4C6440E-89118E14-46484A53|Idea - Modular Sofa - Footstool - Blue|One piece of your fashionable modular sofa. Designed by Idea.|Furniture-Footstool|L
BAE68F4C-EFF64564-B369F768-FF24320F|Playground Classic Orange Ottoman|It s what the Ottoman Empire s royalty would have used for lounging.|Furniture-Footstool|L
BB62F4AF-9F9F4626-B233FECF-1DE36B3A|Blow-up Ottoman|A red blow-up ottoman from LOOT .|Furniture-Footstool|L
C349F51C-BED343C4-A0BB1D6F-21409A0E|Idea - Modular Sofa - Footstool - Red|One piece of your fashionable modular sofa. Designed by Idea.|Furniture-Footstool|L
C416AC21-EF5D4F18-A62731DC-B9764918|Modern Leather Ottoman|Comfortable and stylish. This leather ottoman is the best accent to any modern space.|Furniture-Footstool|L
C66E78C8-3E0B40E3-A2BD02E6-79E70F36|Waterfall Terrace Light Leather Ottoman|Its the perfect match to your Waterfall Terrace Light Leather Chair.|Furniture-Footstool|L
C78F811D-B87D4A86-A8DF89AD-A454EA0D|Idea - Modular Sofa - Footstool - White|One piece of your fashionable modular sofa. Designed by Idea.|Furniture-Footstool|L
D1797B37-D5654771-AF45AB67-CA5DBD92|WT Grandma Footstool|Back in Grandmas day, people didnt have virtual footstools. People relaxed the hard way, with real feet on real stools after a real day of back-breaking work.|Furniture-Footstool|L
D2E15494-95BE45B5-B30AF7B7-0099EA07|Island Bungalow Outdoor Footstool|This soft footstool is a great spot to spark up a conversation with anyone.|Furniture-Footstool|L
