id|name|desc|category|thumbnail
00C4E166-D83A48EC-9A89767E-5F1F1410|MotorStorm Pacific Rift camp|Unwind after a day of brutal racing in your beachfront campsite.|Scene-Entitlement|L
02F15FC6-DE494F61-A2856059-3765740B|The Prairie Saloon|Mosey on down to the Saloon for a rootin tootin good time. Put on a performance on the stage, ride around the expansive grounds, or tend to your horse. Includes  Horse care game with 7 in-game rewards 4 Exclusive Saloon rewards This space is a Clubhouse.|Scene-Entitlement|L
03DE7562-803A4BCC-A28ACD3C-8F3AB87D|Pharaohs Tomb|Loosely translated from the hieroglyphs  Here lies Pharaoh Homenkhammun, about whom dancers rejoice and upon whom the Eye of Horus lingers. Loved by all, may he find further glory in the West.|Scene-Entitlement|L
042A70AF-C4C641B7-AAB55602-1FE708AC|The Spunland Cottage|Take up residence in the Spunland Cottage, with scenic views of the purple skies and hills of Spunland. Includes a garden area with a grazing Flusho Spunner, suitable for relaxing in the afternoon. Explore the maze in the darker depths of the cottage when the house Lumino Spunner permits access. Trigger Sonic Spunners for your own combination of soundtrack, or invite your friends over for a Score Challenge and start the Spun Clock  who can catch the most Rabbits, collect the most Fruit and find the most Eggs in the spun time limit? Become a spun home owner today.|Scene-Entitlement|L
046B3B88-640B45ED-A1A0AF17-9EEFC570|Musicality Apartment|A unique live music venue - up to four players can grab an instrument and jam compete against each other. Comes complete with the Dance music pack additional packs are available to purchase at the Musicality shop.|Scene-Entitlement|L
04E65407-CAC7407E-A862359E-8B4E176D|The Halloween Tour Bus Clubhouse|The time has come to hit the road and party. Take full advantage of the freedoms a virtual world provides, slip the bus into cruise control and join the party at full speed. Just remember what goes on tour, stays on tour.|Scene-Entitlement|L
051F2E74-69BF4FDD-B637F49D-EFD679B9|Discotheque Clubhouse|Dance the night away in this stylish discotheque. Featuring animated disco balls, spotlights and lasers, this vast underground night-club even contains a rythm-action dance mini-game, with a high-score leaderboard. Scoring 100,000 points will give you an exclusive reward... Whether you prefer to challenge your friends at the mini-game, party on the animated illuminated dance floor, sit on the stools at the bar, or relax on the comfy armchairs, this is the perfect place to invite your friends.|Scene-Entitlement|L
053159ED-F78E43D3-B58BEEDE-CC3A6831|Obsidian Officers Quarters|Earth Fleet has constructed a new residency wing of the Novus Prime space station for high-ranking Obsidian pilots. Each apartment includes a Zero-Gravity Simulation System for the owner and guests.|Scene-Entitlement|L
0537BA1A-F8934743-BFB06EEF-5819D61E|Men in Black Headquarters|Get an all-access pass when you own the Men In Black Headquarters as your own Private Space. Enjoy being the boss of the most top-secret organization established to monitor alien activity on Earth. Hang out with Frank the Pug in the MIB Offices, shop in the armory and relax in the break room. So suit up and get ready for the explosive return of Agents Kay and Jay in Men in Black III and the epic new video game Men in Black  Alien Crisis .|Scene-Entitlement|L
054FAFA9-D5DF4164-ADE3FC96-4F6C2A75|The Nightclub  Clubhouse|The Nightclub is the perfect venue for a fantastic night out. Dance to pumping music tracks on the dance floor, sip on drinks in the lounge area, or activate the foam cannon for an extra crazy night. Please note, in order to access this Clubhouse you will need to have purchased the Clubhouse slot from either the Estates Store or the Clubs menu (available in Options).|Scene-Entitlement|L
0716BAC9-CBE74C2B-95E69620-0B42F835|A Dark Wizard s Mansion|Who knows what Dark magic has been performed within these walls? This centuries-old stately home is the perfect residence for the aspiring Dark witch or wizard. Please be aware that only Pottermore furniture can be placed in Pottermore personal apartments and that all chat functions have been disabled. Pottermore furniture can be purchased from the Pottermore shop. #PMExtraCommerce |Scene-Entitlement|L
07357F60-FC504982-9E946020-1702D76A|Glittering Sands Secluded Retreat|Spend your holiday on a luxurious private beach. The clear blue sea, the white sandy beach, and the cottage on the ocean are all yours. With a friend, or with that special someone. Your holiday has just begun.|Scene-Entitlement|L
08A50448-25C6408F-93B42144-556321E7|The Spunland Cottage|Take up residence in the Spunland Cottage, with scenic views of the purple skies and hills of Spunland.|Scene-Entitlement|L
099A248E-806944C7-887FB154-064F33D3|Xi  Continuum - Vertigo Apartment|This fantastical outdoor apartment, situated on the side of a skyscraper overlooking the Continuum, defies belief. This apartment grows in size as you play through Xi  Continuum, resulting in a massive and amazing home.|Scene-Entitlement|L
09E3FE8D-5AEC4942-8AEE85EF-B4C3B3C9|Country Chic - Tour Bus|The time has come to hit the road and party. Take full advantage of the freedoms a virtual world provides, slip the bus into cruise control and join the party at full speed. Just remember what goes on tour, stays on tour.|Scene-Entitlement|L
