id|name|desc|category|thumbnail
00000000-00000000-00000000-01040000|Blue Jeans|Blue Jeans|Female-Legs|S
00000000-00000000-00000000-01040005|Green Trousers|Timeless smart green trousers, great for any occasion.|Female-Legs|S
00000000-00000000-00000000-01040006|Beige Trousers|Timeless smart beige trousers, great for any occasion.|Female-Legs|S
00000000-00000000-00000000-01040007|Black Trousers|Timeless smart black trousers, great for any occasion.|Female-Legs|S
00000000-00000000-00000000-01040008|Grey Trousers|Timeless smart grey trousers, great for any occasion.|Female-Legs|S
00000000-00000000-00000000-01040009|Blue Trousers|Timeless smart blue trousers, great for any occasion.|Female-Legs|S
00000000-00000000-00000000-01040010|White Trousers|Timeless smart white trousers, great for any occasion.|Female-Legs|S
00000000-00000000-00000000-01040011|Capri Pants|Capri Pants|Female-Legs|S
00000000-00000000-00000000-01040022|Sweat Pants|Casual and comfy, for that athletic look.|Female-Legs|S
00000000-00000000-00000000-01040023|Hotpants||Female-Legs|S
00000000-00000000-00000000-01040028|Black Flares with a Red Belt|If you want to look good out and about, you cant beat these classic black flares offset by a red sash belt.|Female-Legs|S
00000000-00000000-00000000-01040033|Leather Pants|Tight fitting, leather pants. A true classic.|Female-Legs|S
00000000-00000000-00000000-01040039|Smart Shorts|Smart and cool for those lovely summer days.|Female-Legs|S
00000000-00000000-00000000-01040040|Black Lace-trimmed Skirt|Combining a black lace trim and a wide-waistband take this style from simple to chic in just one move.|Female-Legs|S
00000000-00000000-00000000-01040041|Green Tartan Lace-trimmed Skirt|A great looking mini with lace-trim gets a makeover with a green tartan detail.|Female-Legs|S
00000000-00000000-00000000-01040042|Red Lace-trimmed Skirt|The black-lace trim gives this red silk mini an extra punch of personality.|Female-Legs|S
00000000-00000000-00000000-01040043|Lace Trimmed Skirt||Female-Legs|S
00000000-00000000-00000000-01040044|Lace-trimmed Skirt with Skull Pattern|A great looking mini with lace-trim and a skull pattern.|Female-Legs|S
00000000-00000000-00000000-01040045|Combat Trousers||Female-Legs|S
00000000-00000000-00000000-01040055|Dark Blue Drainpipe Jeans|Skintight, dark blue drainpipe jeans.|Female-Legs|S
00000000-00000000-00000000-01040058|Blue and Yellow 3 4 length Trousers|Stylish and sporty 3 4 length trousers in blue and yellow.|Female-Legs|S
00000000-00000000-00000000-01040061|Jeans with Turnups|Simple, comfortable turn-up jeans.|Female-Legs|S
001784D8-BCBF4251-8410D043-01A01E7C|Secrets Leather Trousers - Brown|Every woman should have a few Secrets.|Female-Legs|L
0046678F-52434659-B999AA7D-1C3E9630|Power Suit Pencil Skirt - Gray|Stand tall, achieve big, command power. Figment means business.|Female-Legs|L
0057E076-43E94137-A75878B3-03102ED7|Sodium2 Legendary Pilot Trousers - Gray (for Female)|Ultra lightweight and super tough, the Sodium2 Legendary Pilot Range offers ultimate protection combined with anti-drag technology.|Female-Legs|L
0079D853-CD32454F-877AA28B-1D15F909|Element - Sydney Print Denim Short - Multi (Women)|All-over print denim short with frayed hem, cotton coated drawcord, and metal logo trim.|Female-Legs|L
