id|name|desc|category|thumbnail
001F9067-F0CC4DF1-8E7F67DF-740F7535|x7 Bundle Volume 27|Get this exclusive bundle at great value, only available in x7. Includes Crystal Chair, Crystal Desk, Crystal Entertainment Center, Crystal Furniture Bundle, Crystal Lamp, Crystal Sofa and Active Item - Crystal Clock.|Bundle-Furniture|L
007D6DA8-2BB34349-88239B85-01B91FED|Ultimate Modular Bundle|141x Modular furniture items. This bundle includes All 45 Modular Kitchen furniture items. All 48 MyBedroom furniture items. All 48 Idea - Modular Sofa furniture items. Upon purchase, the items will be placed into their respective categories.|Bundle-Furniture|L
0134D583-377F4A98-93608C0D-8EC101EB|Red Brick Tile Set|A set of red brick tiles. This set includes the following items for customizing your personal space. Red Brick Tile - Square (Ornaments) Red Brick Tile - Wedge (Ornaments) *Each item will be added to their relevant wardrobe and furniture category.|Bundle-Furniture|L
016C027B-E3784EB0-ABEF608A-F2F7711D|LKWD Venue Customization Pack - Hive|Comes FREE with the LKWD Venue.|Bundle-Furniture|L
02639A40-EEDD43B7-94044437-28C1BB80|Fossil Collection Plate Set (for Trilobite)|A two plate set perfectly suited to mounting and displaying Trilobit fossils. This set contains the following items. Antiquated Fossil Collection Plate (for Trilobite) (Ornaments) Brand-new Fossil Collection Plate (for Trilobite) (Ornaments) *When purchased, each item is added to the appropriate category.|Bundle-Furniture|L
03E874D1-3E774090-AC32152B-73FF2CBC|x7 Bundle Volume 9|Get this exclusive bundle at great value, only available in x7. Includes Active Item - Hourglass, Animated Neon Green Electra Lamp, Animated Neon Blue Electra Lamp, Active Item - Toy Race Track, Active Item - Toy Train Set and Active Item - Fortune Cookie.|Bundle-Furniture|L
053AC0FD-3B774D8E-BED84FAA-7898F90D|Fossil Collection Plate Set (for Starfish)|A 2-piece set of collection plates perfect for displaying starfish fossils. This set includes the following items Old-Fashioned Fossil Collection Plate (for Starfish) Brand New Fossil Collection Plate (for Starfish) *Upon purchase, each item will be added to the applicable category.|Bundle-Furniture|L
05A706B9-DB814D5E-92DE07C8-E16E5AC5|Collection Plate Set (For Starfish)|A set of 2 plates that is perfectly suited to mounting and displaying starfish fossils. This set includes the following items Antiquated Fossil Collection Plate (For Starfish) (Accessory) Brand-new Fossil Collection Plate (For Starfish) (Accessory) Upon purchase, all items will be placed into their respective categories.|Bundle-Furniture|S
0697F228-C9B348C1-B2A6BA1D-8FE79CC2|6-piece Dining Set With Pizza And Condiments|This 6-piece Set Includes Pizza, Pizza Tray & Pizza Cutter, Fish-shaped Bottle, Olive Oil And Condiments, Plus Items That Combine Them Into One. This Set Includes The Following Items Pizza 1 6 Piece decoration Pizza Tray & Pizza Cutter decoration 5 Seasonings decoration Olive Oil decoration Fish-shaped Bottle decoration Table With Pizza And Seasonings decoration When Purchased, Each Item Will Be Added To The Appropriate Category.|Bundle-Furniture|L
06E1DED3-2CB24812-904A8925-D6EBEC7C|Miu Miu chamber set|Arcade Cabinet And Cute Neko Furniture Set For Playing Miu Miu Chamber This Set Includes The Following Items Miu Miu Chamber (furniture) Shiro Neko Mat (rug) Ash Neko Cushion (decoration) Toraneko Big Cushion (decoration) Ham Neko Table (table) Each Item Will Be Added To The Corresponding Category When Purchased.|Bundle-Furniture|L
072384AB-D8EB4AEF-8C8574A7-268AF04D|Tropical Palm Tree Assembly 4-Piece Set|This Set Allows You To Assemble Four Parts To Make A Large Palm Tree. This Set Includes The Following Items Tropical Palm Tree Assembly Parts I Decoration Tropical Palm Tree Assembly Parts II Decoration Tropical Palm Tree Assembly Parts III Decoration Tropical Palm Tree Assembly Parts IV Decoration When Purchased, Each Item Will Be Added To The Appropriate Category.|Bundle-Furniture|S
07BAC118-9F024E4C-858F6083-4357E5C8|240 LOOT EOD TV - Flatscreen|PLEASE READ BEFORE YOU PURCHASE Due to contractual and rights agreements, some EOD channels are nation specific. Crackle content is ONLY available in United States, Canada, United Kingdom, and Australia. RadioIO is ONLY available in the United States and Canada. In addition, due to rights issues, countries may not receive the same content selections within the channels. Only one TV can be active at a time. The LOOT EOD will work in any private space, UNLESS the space comes with a video screen you cannot turn off. Watch full length movies, TV episodes, live shows and more with your friends on the largest television screen available in PlayStation Home. The LOOT Entertainment On Demand TV will work in any private space unless the space comes with a video screen you can t turn off, it does not include streaming radio or audio-only content. This mammoth of a TV comes with the LOOT 240 TV Stand. Check out the LOOT EOD TV Bundle for the most amazing deal we ve ever had, including exclusive wall mounted television models.|Bundle-Furniture|L
086A5AE4-376649A7-A09CA011-A5608DD8|Lawn Tile Set|Set Of 6 Lawn Tiles. You Can Lay Them On Your Personal Garden At The Chattering Farm To Customize It To Your Liking. This Set Includes The Following Items For Customizing Your Personal Space Light Green Lawn Tile Square (decoration) Light Green Lawn Tile Fan (decoration) Dark Green Lawn Tile Square (decoration) Dark Green Lawn Tile Fan (decoration) Pink Lawn Tile Square (decoration) Pink Lawn Tile Fan (decoration) Once Purchased, Each Item Will Be Added To The Private Lounge When Purchased, Each Item Will Be Added To The Corresponding Category In The Customize Private Lounge Section.|Bundle-Furniture|L
